Severity,Type,Code,File,Message,Source,Line,Time,
Warning,Unspecified,,BingMaps/rest-services/imagery/get-a-static-map.md,The content part of NOTE/WARNING/CAUTION/IMPORTANT/NEXT syntax is suggested to start in a new line.,BuildCore.Build Document.CompilePhaseHandlerWithIncremental.ConceptualDocumentProcessor.Build.BuildConceptualDocument,21,2018-11-26T21:35:45.8362687Z,
Warning,Unspecified,,BingMaps/rest-services/routes/optimized-itinerary.md,Invalid file link:(~/rest-services/routes/Optimized Itinerary Data.md).,BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ConceptualDocumentProcessor.Save,40,2018-11-26T21:35:45.9925204Z,
Warning,Unspecified,,BingMaps/rest-services/routes/optimized-itinerary.md,Invalid file link:(~/rest-services/routes/Optimized Itinerary Data.md).,BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ConceptualDocumentProcessor.Save,153,2018-11-26T21:35:45.9925204Z,
Warning,Unspecified,,BingMaps/rest-services/routes/optimized-itinerary.md,Invalid file link:(~/rest-services/routes/Asynchronous Requests.md).,BuildCore.Build Document.LinkPhaseHandlerWithIncremental.ConceptualDocumentProcessor.Save,42,2018-11-26T21:35:45.9925204Z,
Warning,Unspecified,,BingMaps/v8-web-control/TOC.yml,Invalid file link:(~/v8-web-control/modules/search-module/geocoderesult-object.md).,BuildCore.Build Document.LinkPhaseHandlerWithIncremental.TocDocumentProcessor.Save,,2018-11-26T21:35:46.008158Z,
Warning,Unspecified,,BingMaps/v8-web-control/TOC.yml,Invalid file link:(~/v8-web-control/modules/search-module/reversegeocoderequestoptions-object.md).,BuildCore.Build Document.LinkPhaseHandlerWithIncremental.TocDocumentProcessor.Save,,2018-11-26T21:35:46.008158Z,
Warning,Unspecified,,BingMaps/v8-web-control/TOC.yml,Invalid file link:(~/v8-web-control/modules/search-module/geocodelocation-object.md).,BuildCore.Build Document.LinkPhaseHandlerWithIncremental.TocDocumentProcessor.Save,,2018-11-26T21:35:46.008158Z,
Warning,Unspecified,,BingMaps/v8-web-control/TOC.yml,Invalid file link:(~/v8-web-control/map-control-concepts/map-shapes-polylines-and-polygons/polygon-events.md).,BuildCore.Build Document.LinkPhaseHandlerWithIncremental.TocDocumentProcessor.Save,,2018-11-26T21:35:46.008158Z,
Warning,Unspecified,,BingMaps/v8-web-control/TOC.yml,Invalid file link:(~/v8-web-control/modules/search-module/matchcode-enumeration.md).,BuildCore.Build Document.LinkPhaseHandlerWithIncremental.TocDocumentProcessor.Save,,2018-11-26T21:35:46.008158Z,
Warning,Unspecified,,BingMaps/v8-web-control/TOC.yml,Invalid file link:(~/v8-web-control/modules/directions-module/routeavoidance-enumeration.md).,BuildCore.Build Document.LinkPhaseHandlerWithIncremental.TocDocumentProcessor.Save,,2018-11-26T21:35:46.008158Z,
Warning,Unspecified,,BingMaps/v8-web-control/TOC.yml,Invalid file link:(~/v8-web-control/modules/search-module/placeresult-object.md).,BuildCore.Build Document.LinkPhaseHandlerWithIncremental.TocDocumentProcessor.Save,,2018-11-26T21:35:46.008158Z,
Warning,Unspecified,,BingMaps/v8-web-control/TOC.yml,Invalid file link:(~/v8-web-control/modules/search-module/matchconfidence-enumeration.md).,BuildCore.Build Document.LinkPhaseHandlerWithIncremental.TocDocumentProcessor.Save,,2018-11-26T21:35:46.008158Z,
Warning,Unspecified,,BingMaps/v8-web-control/TOC.yml,Invalid file link:(~/v8-web-control/map-control-concepts/search-module-examples/index.md).,BuildCore.Build Document.LinkPhaseHandlerWithIncremental.TocDocumentProcessor.Save,,2018-11-26T21:35:46.008158Z,
Warning,Unspecified,,BingMaps/v8-web-control/TOC.yml,Invalid file link:(~/v8-web-control/map-control-concepts/pushpins/pushpin-events-example.md).,BuildCore.Build Document.LinkPhaseHandlerWithIncremental.TocDocumentProcessor.Save,,2018-11-26T21:35:46.008158Z,
