H1 Heading,Source File Path,Author,TestUrl,BaseUrl,Message,Passed
Code Optimizations in V8,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/v8-web-control/articles/code-optimizations-in-v8.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/v8-web-control/articles/code-optimizations-in-v8?branch=master,,"The following referenced link [http://www.bing.com/api/maps/sdk/mapcontrol/isdk#addDefaultPolygon+JS] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Polygon interactive code samples],
 URL: ""http://www.bing.com/api/maps/sdk/mapcontrol/isdk#addDefaultPolygon+JS""",False
Code Optimizations in V8,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/v8-web-control/articles/code-optimizations-in-v8.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/v8-web-control/articles/code-optimizations-in-v8?branch=master,,"The following referenced link [http://www.bing.com/api/maps/sdk/mapcontrol/isdk#autoSuggestUi+JS] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Autosuggest module interactive code samples],
 URL: ""http://www.bing.com/api/maps/sdk/mapcontrol/isdk#autoSuggestUi+JS""",False
Code Optimizations in V8,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/v8-web-control/articles/code-optimizations-in-v8.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/v8-web-control/articles/code-optimizations-in-v8?branch=master,,"The following referenced link [http://www.bing.com/api/maps/sdk/mapcontrol/isdk#addMultipleLayerItems+JS] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Layer interactive code samples],
 URL: ""http://www.bing.com/api/maps/sdk/mapcontrol/isdk#addMultipleLayerItems+JS""",False
Code Optimizations in V8,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/v8-web-control/articles/code-optimizations-in-v8.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/v8-web-control/articles/code-optimizations-in-v8?branch=master,,"The following referenced link [http://www.w3.org/wiki/CSS3/Color/Extended_color_keywords] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [extended named colors],
 URL: ""http://www.w3.org/wiki/CSS3/Color/Extended_color_keywords""",False
Code Optimizations in V8,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/v8-web-control/articles/code-optimizations-in-v8.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/v8-web-control/articles/code-optimizations-in-v8?branch=master,,"The following referenced link [http://www.bing.com/api/maps/sdk/mapcontrol/isdk#directionsCreateDrivingRoute+JS] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Directions module interactive code samples],
 URL: ""http://www.bing.com/api/maps/sdk/mapcontrol/isdk#directionsCreateDrivingRoute+JS""",False
Code Optimizations in V8,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/v8-web-control/articles/code-optimizations-in-v8.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/v8-web-control/articles/code-optimizations-in-v8?branch=master,,"The following referenced link [http://www.bing.com/api/maps/sdk/mapcontrol/isdk#addEventHandler+JS] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Events interactive code samples],
 URL: ""http://www.bing.com/api/maps/sdk/mapcontrol/isdk#addEventHandler+JS""",False
Code Optimizations in V8,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/v8-web-control/articles/code-optimizations-in-v8.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/v8-web-control/articles/code-optimizations-in-v8?branch=master,,"The following referenced link [http://blogs.bing.com/maps/2015/02/05/visualizing-point-based-business-intelligence-data-on-bing-maps] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [a couple of solution],
 URL: ""http://blogs.bing.com/maps/2015/02/05/visualizing-point-based-business-intelligence-data-on-bing-maps""",False
Code Optimizations in V8,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/v8-web-control/articles/code-optimizations-in-v8.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/v8-web-control/articles/code-optimizations-in-v8?branch=master,,"The following referenced link [http://www.bing.com/api/maps/sdk/mapcontrol/isdk#tileLayerQuadKey+JS] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Tile Layer interactive code samples],
 URL: ""http://www.bing.com/api/maps/sdk/mapcontrol/isdk#tileLayerQuadKey+JS""",False
Code Optimizations in V8,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/v8-web-control/articles/code-optimizations-in-v8.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/v8-web-control/articles/code-optimizations-in-v8?branch=master,,"The following referenced link [http://www.bing.com/api/maps/sdk/mapcontrol/isdk#loadingModules+JS] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Modular Framework interactive code samples],
 URL: ""http://www.bing.com/api/maps/sdk/mapcontrol/isdk#loadingModules+JS""",False
Code Optimizations in V8,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/v8-web-control/articles/code-optimizations-in-v8.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/v8-web-control/articles/code-optimizations-in-v8?branch=master,,"The following referenced link [http://www.bing.com/api/maps/sdk/mapcontrol/isdk#searchByAddress+JS] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Search module interactive code samples],
 URL: ""http://www.bing.com/api/maps/sdk/mapcontrol/isdk#searchByAddress+JS""",False
Code Optimizations in V8,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/v8-web-control/articles/code-optimizations-in-v8.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/v8-web-control/articles/code-optimizations-in-v8?branch=master,,"The following referenced link [http://www.bing.com/api/maps/sdk/mapcontrol/isdk#addDefaultPushpin+JS] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Pushpin Interactive Code Samples],
 URL: ""http://www.bing.com/api/maps/sdk/mapcontrol/isdk#addDefaultPushpin+JS""",False
Code Optimizations in V8,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/v8-web-control/articles/code-optimizations-in-v8.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/v8-web-control/articles/code-optimizations-in-v8?branch=master,,"The following referenced link [http://www.w3.org/wiki/CSS3/Color] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [CSS3 color strings],
 URL: ""http://www.w3.org/wiki/CSS3/Color""",False
Imagery Metadata,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/rest-services/imagery/imagery-metadata.old.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/rest-services/imagery/imagery-metadata.old?branch=master,,"Links to Microsoft properties are required to use HTTPS. 
 Link Text: Bing Maps Tile System
URL: http://msdn.microsoft.com/en-us/library/bb259689.aspx",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.bctransit.com/sunshine-coast/] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [BC Transit - Sunshine Coast Transit System],
 URL: ""http://www.bctransit.com/sunshine-coast/""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.stl.laval.qc.ca/] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Societe de transport de Laval],
 URL: ""http://www.stl.laval.qc.ca/""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://actr-vt.org/] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Addison County Transit Resources],
 URL: ""http://actr-vt.org/""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://southlanewheels.org/] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [South Lane Wheels],
 URL: ""http://southlanewheels.org/""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.capitolcorridor.org/] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Capitol Corridor Joint Powers Authority],
 URL: ""http://www.capitolcorridor.org/""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.valleytransit.com/] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Valley Transit],
 URL: ""http://www.valleytransit.com/""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.ltd.org/diamondex/] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Diamond Express],
 URL: ""http://www.ltd.org/diamondex/""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.nr.edu/transit/pat.php] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Pulaski Area Transit],
 URL: ""http://www.nr.edu/transit/pat.php""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.menlopark.org/] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [City of Menlo Park],
 URL: ""http://www.menlopark.org/""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.rmwb.ca/Municipal-Government/municipal_departments/Public-Operations/Wood-Buffalo-Transit.htm] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Wood Buffalo Transit Services],
 URL: ""http://www.rmwb.ca/Municipal-Government/municipal_departments/Public-Operations/Wood-Buffalo-Transit.htm""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://transportation.westchestergov.com/bee-line-bus] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Bee-Line Bus],
 URL: ""http://transportation.westchestergov.com/bee-line-bus""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.bctransit.com/cowichan-valley/] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [BC Transit - Cowichan Valley Regional Transit System],
 URL: ""http://www.bctransit.com/cowichan-valley/""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.tri-rail.com/] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [SFRTA/Tri-Rail],
 URL: ""http://www.tri-rail.com/""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.eurekatransit.org/?referrer=gtfs] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Eureka Transit Service],
 URL: ""http://www.eurekatransit.org/?referrer=gtfs""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://transit.saskatoon.ca/] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Saskatoon Transit],
 URL: ""http://transit.saskatoon.ca/""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.sanfordfl.gov/trolley] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Sanford Community Redevelopment Agency],
 URL: ""http://www.sanfordfl.gov/trolley""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.morro-bay.ca.us/mbt] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Morro Bay Transit],
 URL: ""http://www.morro-bay.ca.us/mbt""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://gotransit.com/] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [GO Transit],
 URL: ""http://gotransit.com/""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://transportation.wvu.edu/prt] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [WVU PRT],
 URL: ""http://transportation.wvu.edu/prt""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.caltrain.com/] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Caltrain],
 URL: ""http://www.caltrain.com/""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.borough.ketchikan.ak.us/147/Airport-Ferry] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Airport Ferry],
 URL: ""http://www.borough.ketchikan.ak.us/147/Airport-Ferry""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.sacrt.com/] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Sacramento Regional Transit],
 URL: ""http://www.sacrt.com/""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.mwrta.com/] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [MWRTA],
 URL: ""http://www.mwrta.com/""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.codiactranspo.ca/] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Codiac Transpo],
 URL: ""http://www.codiactranspo.ca/""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.yarts.com/?referrer=gtfs] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Yosemite Area Regional Transportation System],
 URL: ""http://www.yarts.com/?referrer=gtfs""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.ridepatco.org/?utm_source=AddTransit&utm_medium=GTFS] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Port Authority Transit Corporation],
 URL: ""http://www.ridepatco.org/?utm_source=AddTransit&utm_medium=GTFS""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://embarkok.com/] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [EMBARK],
 URL: ""http://embarkok.com/""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.clackamas.edu/campus-life/transportation] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [CCC Xpress],
 URL: ""http://www.clackamas.edu/campus-life/transportation""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.forterie.ca/pages/PublicTransitInformation] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Fort Erie Transit],
 URL: ""http://www.forterie.ca/pages/PublicTransitInformation""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.golynx.com/] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Central Florida Regional Transit Authority],
 URL: ""http://www.golynx.com/""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.tririver.org/] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [TriRiver Transit],
 URL: ""http://www.tririver.org/""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.rtcquebec.ca/] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Réseau de transport de la Capitale (RTC)],
 URL: ""http://www.rtcquebec.ca/""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.fsuburbanos.com/] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Ferrocarriles Suburbanos],
 URL: ""http://www.fsuburbanos.com/""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.jembarque.com/] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [CRT Lanaudière],
 URL: ""http://www.jembarque.com/""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.ridecarta.com/] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Charleston Area Regional Transportation Authority],
 URL: ""http://www.ridecarta.com/""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.acerail.com/] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Altamont Corridor Express],
 URL: ""http://www.acerail.com/""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://frta.org/] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [FRTA],
 URL: ""http://frta.org/""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://nrtawave.com/] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [the WAVE - Nantucket Regional Transit Authority],
 URL: ""http://nrtawave.com/""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.alcatrazcruises.com/index.aspx] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [HF],
 URL: ""http://www.alcatrazcruises.com/index.aspx""",False
North America Transit Coverage,https://github.com/MicrosoftDocs/bingmaps-docs/blob/master/BingMaps/coverage/transit-coverage/north-america.md,richbrun,https://review.docs.microsoft.com/en-us/BingMaps/coverage/transit-coverage/north-america?branch=master,,"The following referenced link [http://www.charmcitycirculator.com/] supports HTTPS. Please change the link to use HTTPS.
 Link Text: [Charm City Circulator],
 URL: ""http://www.charmcitycirculator.com/""",False
